ID	D1	IGNORE THEME	D1	TELUGU	D1	ENGLISH	D1	CLUE	D1	IMAGE	D1	SOUND
645	|	FLOWERS	|	గన్నేరు	|	OLEANDER	|	గన్నేరు_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/COMMONS/THUMB/C/CC/NERIUM_OLEANDER_FLOWERS_LEAVES.JPG/800PX-NERIUM_OLEANDER_FLOWERS_LEAVES.JPG	|	
646	|	FLOWERS	|	పూలమొక్కలు	|	ORCHID	|	పూలమొక్కలు_CLUE	|	HTTP://IMG341.IMAGESHACK.US/IMG341/6008/800PXORCHIDPHALAENOPSIS.JPG	|	
647	|	FLOWERS	|	మొగలి పువ్వు	|	PANDANUS	|	మొగలి పువ్వు_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/COMMONS/THUMB/6/69/PANDANUS_UTILIS_FRUIT.JPG/799PX-PANDANUS_UTILIS_FRUIT.JPG	|	
648	|	FLOWERS	|	జూక మల్లి	|	PASSION FLOWER	|	జూక మల్లి_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/COMMONS/3/35/BILDTANKSTELLE_1_090.JPG	|	
649	|	FLOWERS	|	పూరేకులు	|	PETALS	|	పూరేకులు_CLUE	|	HTTP://CONTARCUENTOS.COM/WP-CONTENT/UPLOADS/2010/11/PETALOS.JPG	|	
650	|	FLOWERS	|	రంగూన్ మల్లి	|	RANGOON-CREEPER	|	రంగూన్ మల్లి_CLUE	|	HTTP://3.BP.BLOGSPOT.COM/-P6_Z2GDB3JE/TEULZGTAESI/AAAAAAAAAR4/VNVXF1-4ZV0/S1600/RANGOON-CREEPER.JPG	|	
651	|	FLOWERS	|	చెంగల్వ	|	RED WTER LILY	|	చెంగల్వ_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/COMMONS/THUMB/E/ED/NYMPHAEA_PUBESCENS_%28INDIAN_RED_WATER_LILY%29%2C_HYDERABAD%2C_INDIA_-_20090613-02.JPG/800PX-NYMPHAEA_PUBESCENS_%28INDIAN_RED_WATER_LILY%29%2C_HYDERABAD%2C_INDIA_-_20090613-02.JPG	|	
652	|	FLOWERS	|	గులాబి	|	ROSE	|	గులాబి_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/COMMONS/THUMB/D/D2/ROSA_%27LA_REINE%27.JPG/800PX-ROSA_%27LA_REINE%27.JPG	|	
653	|	FLOWERS	|	కుంకుమ పువ్వు	|	SAFFRON	|	కుంకుమ పువ్వు_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/COMMONS/9/96/SAFFRAN_CROCUS_SATIVUS_MOIST.JPG	|	
654	|	FLOWERS	|	పొద్దు తిరుగుడు పువ్వు	|	SUNFLOWER	|	పొద్దు తిరుగుడు పువ్వు_CLUE	|	HTTP://ARCHIVE.ANDHRABHOOMI.NET/SITES/DEFAULT/FILES/STYLES/LARGE/PUBLIC/MY_FILES//3SUNFLOWER.JPG	|	
655	|	FLOWERS	|	నక్షత్ర పువ్వు	|	TARA	|	నక్షత్ర పువ్వు_CLUE	|		|	
656	|	FLOWERS	|	ఉమ్మెత్త	|	THORN APPLE	|	ఉమ్మెత్త_CLUE	|	HTTP://WWW.TRADEWINDSFRUIT.COM/THORN_APPLE3.JPG	|	
657	|	FLOWERS	|	అంటంచి పువ్వు	|	TOUCH-ME-NOT	|	అంటంచి పువ్వు_CLUE	|	HTTP://WWW.TRAVELJOURNALS.NET/PICTURES/L/21/216135-MIMOSAE-FLOWER-TOUCH-ME-NOT-GOA-INDIA.JPG	|	
658	|	FLOWERS	|	గడ్డ సంపంగి	|	TUBE ROSE	|	గడ్డ సంపంగి_CLUE	|	HTTP://WWW.CELKAU.IN/CROPS/ORNAMENTAL%20CROPS/IMAGES/T%20UBEROSE.JPG	|	
659	|	FLOWERS	|	గంగ రావి	|	TULIP	|	గంగ రావి_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/COMMONS/THUMB/4/44/TULIP_-_FLORIADE_CANBERRA.JPG/450PX-TULIP_-_FLORIADE_CANBERRA.JPG	|	
660	|	FLOWERS	|	కలువ	|	WATER LILY	|	కలువ_CLUE	|	HTTP://WWW.INTEGRATIVEHEARTHEALINGCENTER.COM/HHC-2/_REFFILES/WATER-LILY.JPG	|	
661	|	FLOWERS	|	సంపంగి	|	WAX FLOWER	|	సంపంగి_CLUE	|	HTTP://4.BP.BLOGSPOT.COM/-W2CHPX7G0BS/UAVJYJVAPOI/AAAAAAAAFHU/LME5V0XQHOA/S1600/DSC00725.JPG	|	
662	|	FRUITS	|	బాదం	|	ALMOND	|	బాదం_CLUE	|		|	
663	|	FRUITS	|	యాపిల్ పండు	|	APPLE	|	యాపిల్ పండు_CLUE	|		|	
664	|	FRUITS	|	అరటి పండు	|	BANANA	|	అరటి పండు_CLUE	|		|	
665	|	FRUITS	|	నేరేడు	|	BLACK APPLE	|	నేరేడు_CLUE	|		|	
666	|	FRUITS	|	అల్ల నేరేడు	|	BLACK BERRY	|	అల్ల నేరేడు_CLUE	|		|	
667	|	FRUITS	|	జీడి మామిడి	|	CASHEW	|	జీడి మామిడి_CLUE	|		|	
668	|	FRUITS	|	సపోటా	|	CHIKOO	|	సపోటా_CLUE	|		|	
669	|	FRUITS	|	సీతా ఫలము	|	CUSTARD APPLE	|	సీతా ఫలము_CLUE	|		|	
670	|	FRUITS	|	ఖర్జూరం	|	DATE	|	ఖర్జూరం_CLUE	|		|	
671	|	FRUITS	|	అత్తి పండు	|	FIG	|	అత్తి పండు_CLUE	|		|	
672	|	FRUITS	|	రాచ ఉసిరిక	|	GOOSEBERRY	|	రాచ ఉసిరిక_CLUE	|		|	
673	|	FRUITS	|	పంపర పనస	|	GRAPE FRUIT	|	పంపర పనస_CLUE	|		|	
674	|	FRUITS	|	ద్రాక్ష పండ్లు	|	GRAPES	|	ద్రాక్ష పండ్లు_CLUE	|		|	
675	|	FRUITS	|	జామ పండు	|	GUAVA	|	జామ పండు_CLUE	|		|	
676	|	FRUITS	|	మారేడు	|	HOG PLUM	|	మారేడు_CLUE	|		|	
677	|	FRUITS	|	రేగు	|	INDIAN PLUM	|	రేగు_CLUE	|		|	
678	|	FRUITS	|	పనస పండు	|	JACKFRUIT	|	పనస పండు_CLUE	|		|	
679	|	FRUITS	|	పెద్దనిమ్మ	|	LEMON	|	పెద్దనిమ్మ_CLUE	|		|	
680	|	FRUITS	|	నిమ్మ	|	LIME	|	నిమ్మ_CLUE	|		|	
681	|	FRUITS	|	కమలా ఫలం	|	MANDARIN ORANGE	|	కమలా ఫలం_CLUE	|		|	
682	|	FRUITS	|	మామిడి పండు	|	MANGO	|	మామిడి పండు_CLUE	|		|	
683	|	FRUITS	|	 కర్భూజ	|	MUSK MELON	|	 కర్భూజ_CLUE	|		|	
684	|	FRUITS	|	నారింజ పండు	|	ORANGE	|	నారింజ పండు_CLUE	|		|	
685	|	FRUITS	|	తాటి	|	PALMYRAH	|	తాటి_CLUE	|		|	
686	|	FRUITS	|	బొప్పాయి	|	PAPAYA	|	బొప్పాయి_CLUE	|		|	
687	|	FRUITS	|	శఫ్తాలు పండు 	|	PEACH	|	శఫ్తాలు పండు _CLUE	|		|	
688	|	FRUITS	|	సీమ రేగు 	|	PEAR	|	సీమ రేగు _CLUE	|		|	
689	|	FRUITS	|	అనాస పండు	|	PINEAPPLE	|	అనాస పండు_CLUE	|		|	
690	|	FRUITS	|	దానిమ్మ	|	POMEGRANATE	|	దానిమ్మ_CLUE	|		|	
691	|	FRUITS	|	ఎండు ద్రాక్ష	|	RAISIN	|	ఎండు ద్రాక్ష_CLUE	|		|	
692	|	FRUITS	|	దబ్బ నిమ్మ	|	ROUGH LEMON	|	దబ్బ నిమ్మ_CLUE	|		|	
693	|	FRUITS	|	చెరుకు గడ	|	SUGAR CANE	|	చెరుకు గడ_CLUE	|		|	
694	|	FRUITS	|	పుచ్చ కాయ	|	WATER MELON	|	పుచ్చ కాయ_CLUE	|		|	
695	|	FRUITS	|	ఈత పళ్ళు	|	WILD DATES	|	ఈత పళ్ళు_CLUE	|		|	
696	|	FRUITS	|	వెలగ	|	WOOD APPLE	|	వెలగ_CLUE	|		|	
697	|	HINDU_GODS_GODDESSES	|	ఆది  పరాశక్తి 	|	ADI PARASHAKTI	|	ఆది  పరాశక్తి _CLUE	|		|	
698	|	HINDU_GODS_GODDESSES	|	ఆది శేషుడు 	|	ADI SESHA	|	ఆది శేషుడు _CLUE	|		|	
699	|	HINDU_GODS_GODDESSES	|	అదితి 	|	ADITHI	|	అదితి _CLUE	|		|	
700	|	HINDU_GODS_GODDESSES	|	అగ్ని దేవుడు 	|	AGNI 	|	అగ్ని దేవుడు _CLUE	|		|	
701	|	HINDU_GODS_GODDESSES	|	అన్నపూర్ణ దేవి 	|	ANNAPOORNA DEVI 	|	అన్నపూర్ణ దేవి _CLUE	|		|	
702	|	HINDU_GODS_GODDESSES	|	అర్ధనారీశ్వరుడు 	|	ARDHANARISWARUDU 	|	అర్ధనారీశ్వరుడు _CLUE	|		|	
703	|	HINDU_GODS_GODDESSES	|	అష్ట మూర్తి 	|	ASHTAMURTI	|	అష్ట మూర్తి _CLUE	|		|	
704	|	HINDU_GODS_GODDESSES	|	అష్ట లక్ష్మి 	|	ASTA LAKSHMI	|	అష్ట లక్ష్మి _CLUE	|		|	
705	|	HINDU_GODS_GODDESSES	|	భాగల్ ముఖి  మాత్రిక 	|	BAGALAMUKHI MATRIKA	|	భాగల్ ముఖి  మాత్రిక _CLUE	|		|	
706	|	HINDU_GODS_GODDESSES	|	బాల త్రిపుర సుందరి 	|	BALA TRIPURA SUNDARI	|	బాల త్రిపుర సుందరి _CLUE	|		|	
707	|	HINDU_GODS_GODDESSES	|	బలరాముడు 	|	BALARAM	|	బలరాముడు _CLUE	|		|	
708	|	HINDU_GODS_GODDESSES	|	బసవేశ్వరుడు 	|	BASAVESWARUDU 	|	బసవేశ్వరుడు _CLUE	|		|	
709	|	HINDU_GODS_GODDESSES	|	భద్ర కాళీ 	|	BHADRAKALI	|	భద్ర కాళీ _CLUE	|		|	
710	|	HINDU_GODS_GODDESSES	|	భైరవుడు 	|	BHAIRAVA	|	భైరవుడు _CLUE	|		|	
711	|	HINDU_GODS_GODDESSES	|	భైరవి 	|	BHAIRAVI 	|	భైరవి _CLUE	|		|	
712	|	HINDU_GODS_GODDESSES	|	భవాని మాత 	|	BHAVANI MATA	|	భవాని మాత _CLUE	|		|	
713	|	HINDU_GODS_GODDESSES	|	భిక్షాటన మూర్తి 	|	BHIKSATANAMURTI	|	భిక్షాటన మూర్తి _CLUE	|		|	
714	|	HINDU_GODS_GODDESSES	|	భూ దేవి 	|	BHUDEVI	|	భూ దేవి _CLUE	|		|	
715	|	HINDU_GODS_GODDESSES	|	భువనేశ్వరి దేవి 	|	BHUVANESWARI DEVI 	|	భువనేశ్వరి దేవి _CLUE	|		|	
716	|	HINDU_GODS_GODDESSES	|	బ్రహ్మ 	|	BRAHMA	|	బ్రహ్మ _CLUE	|		|	
717	|	HINDU_GODS_GODDESSES	|	దక్షిణామూర్తి 	|	DAKSHINAMURTI	|	దక్షిణామూర్తి _CLUE	|		|	
718	|	HINDU_GODS_GODDESSES	|	దత్తాత్రేయ 	|	DATTATREYA	|	దత్తాత్రేయ _CLUE	|		|	
719	|	HINDU_GODS_GODDESSES	|	దేవసేన 	|	DEVASENA 	|	దేవసేన _CLUE	|		|	
720	|	HINDU_GODS_GODDESSES	|	ధైర్య లక్ష్మి 	|	DHAIRYA-LAKSHMI	|	ధైర్య లక్ష్మి _CLUE	|		|	
721	|	HINDU_GODS_GODDESSES	|	ధన లక్ష్మి 	|	DHANA-LAKSHMI	|	ధన లక్ష్మి _CLUE	|		|	
722	|	HINDU_GODS_GODDESSES	|	ధన్వంతరి 	|	DHANVANTARI	|	ధన్వంతరి _CLUE	|		|	
723	|	HINDU_GODS_GODDESSES	|	ధాన్య లక్ష్మి 	|	DHANYA-LAKSHMI	|	ధాన్య లక్ష్మి _CLUE	|		|	
724	|	HINDU_GODS_GODDESSES	|	ధర్మ శాస్త 	|	DHARMA SHASTA\AYYAPPA SWAMI	|	ధర్మ శాస్త _CLUE	|		|	
725	|	HINDU_GODS_GODDESSES	|	దుమవతి 	|	DHUMAVATHI 	|	దుమవతి _CLUE	|		|	
726	|	HINDU_GODS_GODDESSES	|	దుర్గ దేవి 	|	DURGA DEVI 	|	దుర్గ దేవి _CLUE	|		|	
727	|	HINDU_GODS_GODDESSES	|	గజ లక్ష్మి 	|	GAJA-LAKSHMI	|	గజ లక్ష్మి _CLUE	|		|	
728	|	HINDU_GODS_GODDESSES	|	గణేశ లేక విఘ్నెశ్వరుడు 	|	GANESHA/VIGNESWARUDU 	|	గణేశ లేక విఘ్నెశ్వరుడు _CLUE	|		|	
729	|	HINDU_GODS_GODDESSES	|	గంగా దేవి 	|	GANGA DEVI 	|	గంగా దేవి _CLUE	|		|	
730	|	HINDU_GODS_GODDESSES	|	గరుత్మంతుడు 	|	GARUTMANTUDU 	|	గరుత్మంతుడు _CLUE	|		|	
731	|	HINDU_GODS_GODDESSES	|	గాయత్రీ మాత 	|	GAYATRI MATA	|	గాయత్రీ మాత _CLUE	|		|	
732	|	HINDU_GODS_GODDESSES	|	హనుమంతుడు 	|	HANUMAN	|	హనుమంతుడు _CLUE	|		|	
733	|	HINDU_GODS_GODDESSES	|	ఇంద్రుడు 	|	INDRA	|	ఇంద్రుడు _CLUE	|		|	
734	|	HINDU_GODS_GODDESSES	|	ఇంద్రాణి 	|	INDRANI	|	ఇంద్రాణి _CLUE	|		|	
735	|	HINDU_GODS_GODDESSES	|	జగద్దాద్త్రి 	|	JAGADDHATRI	|	జగద్దాద్త్రి _CLUE	|		|	
736	|	HINDU_GODS_GODDESSES	|	జగన్నాధుడు 	|	JAGANNATH	|	జగన్నాధుడు _CLUE	|		|	
737	|	HINDU_GODS_GODDESSES	|	కల్కి 	|	KALKI	|	కల్కి _CLUE	|		|	
738	|	HINDU_GODS_GODDESSES	|	కాళరాత్రి 	|	KALRATRI	|	కాళరాత్రి _CLUE	|		|	
739	|	HINDU_GODS_GODDESSES	|	కామాక్షి దేవి 	|	KAMAKSHI DEVI 	|	కామాక్షి దేవి _CLUE	|		|	
740	|	HINDU_GODS_GODDESSES	|	కమల దేవి 	|	KAMALA DEVI	|	కమల దేవి _CLUE	|		|	
741	|	HINDU_GODS_GODDESSES	|	కార్తికేయుడు  లేక కుమారస్వామి 	|	KARTIKEYA/ KUMARASWAMI 	|	కార్తికేయుడు  లేక కుమారస్వామి _CLUE	|		|	
742	|	HINDU_GODS_GODDESSES	|	కాత్యాయిని 	|	KATHYAYINI DEVI 	|	కాత్యాయిని _CLUE	|		|	
743	|	HINDU_GODS_GODDESSES	|	ఖండోబా 	|	KHANDOBA	|	ఖండోబా _CLUE	|		|	
744	|	HINDU_GODS_GODDESSES	|	కిరాత మూర్తి 	|	KIRATA MOORTI	|	కిరాత మూర్తి _CLUE	|		|	
745	|	HINDU_GODS_GODDESSES	|	కుబేరుడు 	|	KUBERA	|	కుబేరుడు _CLUE	|		|	
746	|	HINDU_GODS_GODDESSES	|	కూర్మావతారం 	|	KURMA	|	కూర్మావతారం _CLUE	|		|	
747	|	HINDU_GODS_GODDESSES	|	లక్ష్మణ స్వామి 	|	LAKSHMAN SWAMI 	|	లక్ష్మణ స్వామి _CLUE	|		|	
748	|	HINDU_GODS_GODDESSES	|	లక్ష్మి దేవి 	|	LAKSHMI DEVI	|	లక్ష్మి దేవి _CLUE	|		|	
749	|	HINDU_GODS_GODDESSES	|	లలితా దేవి 	|	LALITHA DEVI 	|	లలితా దేవి _CLUE	|		|	
750	|	HINDU_GODS_GODDESSES	|	మహా గౌరీ 	|	MAHA GOURI 	|	మహా గౌరీ _CLUE	|		|	
751	|	HINDU_GODS_GODDESSES	|	మహా విష్ణు 	|	MAHA VISHNU	|	మహా విష్ణు _CLUE	|		|	
752	|	HINDU_GODS_GODDESSES	|	మహా విద్య 	|	MAHAVIDYA	|	మహా విద్య _CLUE	|		|	
753	|	HINDU_GODS_GODDESSES	|	మార్కండేయుడు 	|	MARKANDEYA	|	మార్కండేయుడు _CLUE	|		|	
754	|	HINDU_GODS_GODDESSES	|	మాతంగి 	|	MATANGI 	|	మాతంగి _CLUE	|		|	
755	|	HINDU_GODS_GODDESSES	|	మాత్రికాస్ 	|	MATRIKAS	|	మాత్రికాస్ _CLUE	|		|	
756	|	HINDU_GODS_GODDESSES	|	మత్స్య వతారం 	|	MATSYA	|	మత్స్య వతారం _CLUE	|		|	
757	|	HINDU_GODS_GODDESSES	|	మీనాక్షి దేవి 	|	MEENAKSHI DEVI 	|	మీనాక్షి దేవి _CLUE	|		|	
758	|	HINDU_GODS_GODDESSES	|	ముకాంబిక దేవి 	|	MOOKAMBIKA	|	ముకాంబిక దేవి _CLUE	|		|	
759	|	HINDU_GODS_GODDESSES	|	ముత్యాలమ్మ తల్లి 	|	MUTHYALAMMA TALLI 	|	ముత్యాలమ్మ తల్లి _CLUE	|		|	
760	|	HINDU_GODS_GODDESSES	|	నాగదేవత 	|	NAGA DEVATA	|	నాగదేవత _CLUE	|		|	
761	|	HINDU_GODS_GODDESSES	|	నాగరాజు 	|	NAGA RAJA	|	నాగరాజు _CLUE	|		|	
762	|	HINDU_GODS_GODDESSES	|	నాగ యక్షి 	|	NAGA YAKSHI	|	నాగ యక్షి _CLUE	|		|	
763	|	HINDU_GODS_GODDESSES	|	నందీశ్వరుడు 	|	NANDEESWARUDU 	|	నందీశ్వరుడు _CLUE	|		|	
764	|	HINDU_GODS_GODDESSES	|	నందిని దేవి 	|	NANDINI DEVI 	|	నందిని దేవి _CLUE	|		|	
765	|	HINDU_GODS_GODDESSES	|	నారదుడు 	|	NARADA	|	నారదుడు _CLUE	|		|	
766	|	HINDU_GODS_GODDESSES	|	నరసింహావతారం 	|	NARASIMHA	|	నరసింహావతారం _CLUE	|		|	
767	|	HINDU_GODS_GODDESSES	|	నటరాజు 	|	NATARAJA	|	నటరాజు _CLUE	|		|	
768	|	HINDU_GODS_GODDESSES	|	నవ దుర్గ 	|	NAVADURGA	|	నవ దుర్గ _CLUE	|		|	
769	|	HINDU_GODS_GODDESSES	|	పద్మావతి 	|	PADMAVATHI	|	పద్మావతి _CLUE	|		|	
770	|	HINDU_GODS_GODDESSES	|	పరశురామావాతరం 	|	PARASHURAMA	|	పరశురామావాతరం _CLUE	|		|	
771	|	HINDU_GODS_GODDESSES	|	పార్వతి దేవి 	|	PARVATI DEVI	|	పార్వతి దేవి _CLUE	|		|	
772	|	HINDU_GODS_GODDESSES	|	పశుపతి 	|	PASHUPATI	|	పశుపతి _CLUE	|		|	
773	|	HINDU_GODS_GODDESSES	|	ప్రజాపతి 	|	PRAJAPATI	|	ప్రజాపతి _CLUE	|		|	
774	|	HINDU_GODS_GODDESSES	|	రాధా 	|	RADHA 	|	రాధా _CLUE	|		|	
775	|	HINDU_GODS_GODDESSES	|	రాజ రాజేశ్వరి దేవి 	|	RAJA RAJESHWARI DEVI 	|	రాజ రాజేశ్వరి దేవి _CLUE	|		|	
776	|	HINDU_GODS_GODDESSES	|	రంగనాథ స్వామి 	|	RANGANATHA SWAMI 	|	రంగనాథ స్వామి _CLUE	|		|	
777	|	HINDU_GODS_GODDESSES	|	రతి దేవి 	|	RATI DEVI 	|	రతి దేవి _CLUE	|		|	
778	|	HINDU_GODS_GODDESSES	|	రవి / సూర్య దేవుడు 	|	RAVI / SURYADEVA 	|	రవి / సూర్య దేవుడు _CLUE	|		|	
779	|	HINDU_GODS_GODDESSES	|	రేణుక మాత 	|	RENUKA MATHA 	|	రేణుక మాత _CLUE	|		|	
780	|	HINDU_GODS_GODDESSES	|	రుద్ర 	|	RUDRA	|	రుద్ర _CLUE	|		|	
781	|	HINDU_GODS_GODDESSES	|	రుక్మిణి 	|	RUKMINI	|	రుక్మిణి _CLUE	|		|	
782	|	HINDU_GODS_GODDESSES	|	సాయి బాబా 	|	SAI BABA	|	సాయి బాబా _CLUE	|		|	
783	|	HINDU_GODS_GODDESSES	|	సంతాన లక్ష్మి 	|	SANTAN-LAKSHMI	|	సంతాన లక్ష్మి _CLUE	|		|	
